*EVALUATION : PASA1701BN SANTANDER_ANALISIS SENSIBILIDAD                              DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 21, 2017; 08:17:42

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  60 PASA1701BN     2  1 BN      26     -99      29     -99      39     -99      66     -99    2150     -99    2731     -99     532     -99  0.4045     -99    4.30     -99    3116     -99     970     -99    1.28     -99   0.690     -99   78.74     -99      79     -99      94     -99       4     -99    3.67     -99     339     -99      10     -99    5.03     -99    2.56     -99    0.26     -99      73     -99       5     -99
  61 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      68     -99    2338     -99    2994     -99     597     -99  0.3918     -99    4.30     -99    3422     -99    1080     -99    1.42     -99   0.683     -99   78.09     -99      86     -99     103     -99       4     -99    3.68     -99     397     -99      12     -99    5.23     -99    2.57     -99    0.26     -99      75     -99       6     -99
  62 PASA1701BN     2  1 BN      27     -99      29     -99      39     -99      65     -99    2249     -99    2873     -99     583     -99  0.3858     -99    4.30     -99    3306     -99    1060     -99    1.35     -99   0.680     -99   78.28     -99      83     -99     100     -99       4     -99    3.69     -99     400     -99      12     -99    5.21     -99    2.58     -99    0.26     -99      72     -99       5     -99
  63 PASA1701BN     2  1 BN      25     -99      28     -99      37     -99      62     -99    2160     -99    2747     -99     553     -99  0.3904     -99    4.30     -99    3143     -99     980     -99    1.35     -99   0.687     -99   78.65     -99      80     -99      95     -99       4     -99    3.70     -99     349     -99      11     -99    5.08     -99    2.62     -99    0.27     -99      69     -99       5     -99
  64 PASA1701BN     2  1 BN      28     -99      30     -99      40     -99      65     -99    2142     -99    2735     -99     564     -99  0.3797     -99    4.30     -99    3149     -99    1010     -99    1.33     -99   0.680     -99   78.31     -99      79     -99      95     -99       4     -99    3.69     -99     406     -99      13     -99    5.37     -99    2.64     -99    0.29     -99      72     -99       6     -99
  65 PASA1701BN     3  1 BN      28     -99      30     -99      41     -99      68     -99    2328     -99    2994     -99     616     -99  0.3777     -99    4.30     -99    3468     -99    1140     -99    1.48     -99   0.671     -99   77.74     -99      85     -99     103     -99       5     -99    3.67     -99     454     -99      14     -99    5.62     -99    2.54     -99    0.30     -99      75     -99       5     -99
  66 PASA1701BN     3  1 BN      30     -99      33     -99      43     -99      71     -99    2298     -99    2929     -99     581     -99  0.3956     -99    4.30     -99    3366     -99    1070     -99    1.43     -99   0.683     -99   78.43     -99      84     -99     101     -99       4     -99    3.66     -99     419     -99      13     -99    5.43     -99    2.49     -99    0.28     -99      78     -99       6     -99
  67 PASA1701BN     3  1 BN      30     -99      33     -99      43     -99      69     -99    2293     -99    2969     -99     623     -99  0.3680     -99    4.30     -99    3426     -99    1130     -99    1.55     -99   0.669     -99   77.25     -99      84     -99     102     -99       4     -99    3.68     -99     455     -99      14     -99    5.53     -99    2.58     -99    0.28     -99      76     -99       6     -99
  68 PASA1701BN     3  1 BN      29     -99      31     -99      41     -99      66     -99    2364     -99    3029     -99     615     -99  0.3843     -99    4.30     -99    3504     -99    1140     -99    1.57     -99   0.675     -99   78.07     -99      87     -99     105     -99       5     -99    3.68     -99     476     -99      15     -99    5.76     -99    2.59     -99    0.32     -99      73     -99       6     -99
  69 PASA1701BN     3  1 BN      29     -99      32     -99      42     -99      69     -99    2306     -99    2921     -99     572     -99  0.4029     -99    4.30     -99    3437     -99    1130     -99    1.50     -99   0.671     -99   78.94     -99      84     -99     102     -99       5     -99    3.65     -99     430     -99      14     -99    5.38     -99    2.57     -99    0.27     -99      76     -99       5     -99
